#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,noto-fonts,"provides the sans and serif fonts."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,kitty,"Fast GPU-accelerated terminal"
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme."
,neovim,"a tidier vim with some useful features"
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,noto-fonts-emoji,"is an emoji font."
,pulseaudio,"is the audio system."
,pamixer,"is a command-line audio interface."
,pavucontrol,"GUI audio interface."
,scrot,"can take quick screenshots at your request."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,fzf,"A fuzzy finder tool."
,nnn,"Minimal terminal file browser"
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,tlp,"power management with extra support for thinkpads"
,acpi_call,"Thinkpad charge threshold support"
,wmname,"fixes Java application bugs"
,bspwm,"minimalist window manager."
,sxhkd,"Simple X Hot Key Daemon. Used with bspwm for keybinding."
,polybar,"Fast and simple status bar"
,network-manager-applet,"nm-applet system tray icon"
,keepassxc,"Password manager."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,htop-vim-git,"is a graphical and colorful system monitor."
G,https://github.com/bbenne10/xinputd.git,"Simple Xorg input device watcher"
